Date,PM10,Gravimetric Method,Optical Method mean,Optical Method std
02/01/2021,0.78,32,34,14
12/01/2021,0.35,15,17,9
26/02/2021,1.84,76,85,25
03/03/2021,0.71,30,23,12
10/03/2021,3.66,152,120,30
01/04/2021,0.3,12,17,13
07/05/2021,0.16,7,33,24
23/05/2021,0.99,41,20,11
30/05/2021,0.04,2,15,4
15/06/2021,0.24,10,17,9
21/06/2021,3.99,166,79,34
29/06/2021,0.24,10,20,12
04/07/2021,0.98,41,47,11
25/07/2021,0.06,3,41,14
1/08/2021,0.27,11,24,3
16/09/2021,0.49,20,15,9
21/09/2021,0.56,23,22,15
22/09/2021,0.03,1,15,4
24/09/2021,0.64,27,28,15
03/10/2021,0.28,12,8,3
11/10/2021,1.01,42,11,5
14/10/2021,0.01,0.4,5,3
30/10/2021,1.12,47,13,4
05/11/2021,4,166,24,2
08/11/2021,0.01,0.4,14,3
23/11/2021,1.08,45,45,6
29/11/2021,0.04,2,14,4
06/12/2021,3.24,135,52,7
12/12/2021,0.04,2,14,4
15/12/2021,0.17,7,30,12
20/12/2021,0.23,10,14,12
